i	j	dist	alignment
0	0	0.0	{0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
1	0	0.04761904761904762	{1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
1	1	0.0	{1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
2	0	1	
2	1	1	
2	2	0.0	{2: ['162', ' ', 'st', ' ', 'marys', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '614004218866', ' ', '-', '74', '.', '072557751113', ')']}
3	2	1	
3	0	0.05005411255411256	{3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
3	3	0.0	{3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')']}
5	2	1	
5	1	0.04707792207792207	{5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')'], 1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
4	4	0.0	{4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')']}
3	1	0.005681818181818182	{3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')'], 1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
5	4	0.04318181818181818	{5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')'], 4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')']}
4	1	0.019480519480519484	{4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')'], 1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
6	4	0.04599567099567099	{6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')'], 4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')']}
6	3	0.032196969696969696	{6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')'], 3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')']}
5	5	0.0	{5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')']}
5	3	0.05113636363636364	{5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')'], 3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')']}
4	2	1	
6	2	1	
6	0	0.06259018759018758	{6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
6	1	0.026515151515151516	{6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')'], 1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
4	3	0.022727272727272728	{4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')'], 3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')']}
5	0	0.06796536796536796	{5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
4	0	0.033008658008658015	{4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
6	5	0.06854256854256854	{6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')'], 5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')']}
6	6	0.0	{6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')']}
7	2	1	
7	0	0.03982683982683983	{7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
7	4	0.009090909090909089	{7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')'], 4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')']}
7	3	0.017045454545454544	{7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')'], 3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')']}
8	0	0.02467532467532468	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
7	1	0.012987012987012986	{7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')'], 1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
7	6	0.039502164502164504	{7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')'], 6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')']}
8	5	0.045454545454545456	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')'], 5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')']}
8	3	0.032196969696969696	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')'], 3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')']}
7	7	0.0	{7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
9	0	0.05844155844155843	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 0: ['25', ' ', 'bay', ' ', 'terrace', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
8	2	1	
9	1	0.044372294372294376	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
8	6	0.05465367965367966	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')'], 6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')']}
